,Positive_mean,Negative_mean,Neutral_mean,has_tech,has_facility,has_payment,has_schedule,has_discount
Positive_mean,1.0,-0.984574183407657,-0.27905132086624373,0.34232123354016936,-0.24708560364972237,0.14893342259747713,-0.20962477387125583,-0.34888899892094427
Negative_mean,-0.984574183407657,1.0,0.12067497679330343,-0.3030137167733064,0.2316168899419858,-0.22497644534772238,0.21899432771709934,0.2930352989840838
Neutral_mean,-0.27905132086624373,0.12067497679330343,1.0,-0.2045106176600351,0.21515996661962622,0.48036989046581285,-0.029120857854665807,0.41968585578009576
has_tech,0.34232123354016936,-0.3030137167733064,-0.2045106176600351,1.0,0.025565499628245714,-0.21549855796030778,-0.17149858514250896,-0.17149858514250887
has_facility,-0.24708560364972237,0.2316168899419858,0.21515996661962622,0.025565499628245714,1.0,-0.18731716231633874,-0.14907119849998596,-0.14907119849998596
has_payment,0.14893342259747713,-0.22497644534772238,0.48036989046581285,-0.21549855796030778,-0.18731716231633874,1.0,-0.1256561724875087,0.3350831266333564
has_schedule,-0.20962477387125583,0.21899432771709934,-0.029120857854665807,-0.17149858514250896,-0.14907119849998596,-0.1256561724875087,1.0,-0.1
has_discount,-0.34888899892094427,0.2930352989840838,0.41968585578009576,-0.17149858514250887,-0.14907119849998596,0.3350831266333564,-0.1,1.0
